Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C29, C30, C31, C34, C37, C38, C39, C43, C51, C52, C53, C54, C55, C58, C61, C62, C63, C64, C72, C79, C80, C9",0402,41,100nF,
"C2, C28, C3",0402,3,20pF,
"C32, C33, C41, C46, C47, C56",0603,6,10nF,
"C35, C6, C7, C8",0402,4,2.2uF,
"C36, C4, C45, C48, C49, C57",0402,6,10uF,
"C40, C66, C68, C69, C71, C74, C77, C78",0603,8,10uF,
"C42, C44, C50",0603,3,1uF,
C5,0402,1,100n,
C59,0603,1,100nF,
C60,CP_Elec_6.3x5.4,1,10V 220uF,
"C65, C67",0603,2,2.2uF,
C70,0603,1,10pF,
"C73, C75",0603,2,39pF,
C76,CP_Elec_8x10.5,1,1000uF,
CAN1,Molex_SL_171971-0004_1x04_P2.54mm_Vertical,1,CAN1,
D1,0603,1,3.3VA,
D10,0603,1,LED6,
D11,0603,1,LED7,
D12,0603,1,LED8,
D13,D_SMA,1,SS54,
D14,0603,1,12V,
D15,D_SOD-123F,1,SMFJ5.0CA,
D2,0603,1,3.3VP,
D3,0603,1,3.3V,
D4,0603,1,5V,
D5,0603,1,LED1,
D6,0603,1,LED2,
D7,0603,1,LED3,
D8,0603,1,LED4,
D9,0603,1,LED5,
F1,1808Fuse_Base,1,5A 20V,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,RGBLCD,
IC1,SOP80P1176X120-54N,1,W9825G6KH-6,
IC2,SOIC127P600X175-8N,1,MD8002A,
J1,Molex_SL_171971-0004_1x04_P2.54mm_Vertical,1,SWD,
J2,PinHeader_2x04_P2.54mm_Vertical,1,NRF,
J3,SD_Kyocera_145638009511859+,1,SD_Card,
J4,XDCR_COM-09032,1,Joystick_L,
J5,Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal,1,RGBLCD,
J6,XDCR_COM-09032,1,Joystick_R,
J7,Molex_SL_171971-0004_1x04_P2.54mm_Vertical,1,UART,
J8,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,12V Input,
L1,L_0420,1,2.2uH,
L2,L_7.3x7.3_H3.5,1,22uH,
R1,0402,1,10k,
"R10, R11, R7, R8, R9",0402,5,47k,
R12,0402,1,100R,
"R13, R14",0402,2,56R,
R15,0603,1,5.6k,
"R16, R18",0603,2,10R,
R17,0603,1,20k,
R19,0603,1,162k,
R2,0402,1,162k,
"R20, R21, R24",0603,3,0R,
R22,0402,1,53.6k,
R23,0402,1,10.2K,
"R25, R3, R4, R5",0402,4,0R,
R26,0603,1,2k,
R6,0402,1,REG,
"RN1, RN2, RN3",R_Array_Concave_4x0402,3,1k*4,
SPK1,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,1,SPK-,
SPK2,TestPoint_Loop_D3.50mm_Drill1.4mm_Beaded,1,SPK+,
SW1,SW_Push_1P1T_NO_CK_KSC6xxJ,1,Reset,
SW2,SW_B3F-4055,1,BTN1_D,
SW3,SW_B3F-4055,1,BTN1_L,
SW4,SW_B3F-4055,1,BTN1_R,
SW5,SW_B3F-4055,1,BTN1_U,
SW6,SW_B3F-4055,1,BTN2_D,
SW7,SW_B3F-4055,1,BTN2_L,
SW8,SW_B3F-4055,1,BTN2_R,
SW9,SW_B3F-4055,1,BTN2_U,
TP1,TestPoint_Pad_D2.5mm,1,3.3VM,
TP2,TestPoint_Pad_D2.5mm,1,3.3VA,
TP3,TestPoint_Pad_D2.5mm,1,3.3VP,
TP4,TestPoint_Pad_D2.5mm,1,5V,
TP5,TestPoint_Pad_D2.5mm,1,GND,
TP6,TestPoint_Pad_D2.5mm,1,12V,
U1,LQFP-176_24x24mm_P0.5mm,1,STM32F429IGTx,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1050,
U3,QFN45P400X400X90-29N-D,1,ES8388,
U4,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,ICM-20602,
U5,SOT-223,1,LM1117-3.3V,
U6,SOT95P280X100-5N,1,CAT6219-330TDGT3,
U7,TI_SO-PowerPAD-8_ThermalVias,1,TPS54360DDA,
U8,SOT-23-5,1,LP5907MFX-3.3,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,
