Designator,Mid X,Mid Y,Rotation,Layer
C1,105.0457,-492.705701,0.0,top
C10,125.0442,-436.9983,90.0,top
C11,121.6281,-448.6158,180.0,top
C12,124.8918,-433.9169,270.0,top
C13,156.0631,-445.0658,0.0,top
C14,153.8478,-440.2161,270.0,top
C15,154.4495,-451.0658,0.0,top
C16,148.421,-457.2328,270.0,top
C17,142.1956,-457.5658,270.0,top
C18,130.608766,-458.5549,270.0,top
C19,131.2164,-425.1452,90.0,top
C2,123.8956,-443.9833,270.0,top
C20,137.1956,-423.222794,90.0,top
C21,157.5308,-430.4284,90.0,top
C22,179.4956,-434.1158,90.0,top
C23,189.4603,-403.4913,180.0,top
C24,172.8631,-450.4658,0.0,top
C25,159.7281,-434.6833,180.0,top
C26,224.5227,-399.6228,180.0,top
C27,177.6631,-450.4658,0.0,top
C28,220.837699,-390.6478,180.0,top
C29,181.0956,-434.1158,90.0,top
C3,123.9266,-446.3983,270.0,top
C30,174.6956,-434.1158,90.0,top
C31,170.6956,-434.1158,90.0,top
C32,41.1664,-428.244,180.0,top
C33,27.9908,-414.9474,90.0,top
C34,111.7092,-428.4051,270.0,top
C35,160.148998,-458.6581,270.0,top
C36,112.9284,-428.4051,270.0,top
C37,162.148999,-458.6581,270.0,top
C38,173.546717,-426.757917,315.0,top
C39,161.148999,-458.658101,270.0,top
C4,119.561999,-451.5345,270.0,top
C40,106.9002,-422.8592,180.0,top
C41,32.7406,-403.9924,180.0,top
C42,100.9142,-421.0304,180.0,top
C43,160.748998,-460.275599,0.0,top
C44,100.9142,-422.5036,0.0,top
C45,102.358599,-428.4487,90.0,top
C46,249.174,-414.9982,90.0,top
C47,262.603,-401.2184,0.0,top
C48,101.3934,-428.4787,90.0,top
C49,99.3394,-427.3042,90.0,top
C5,118.612,-451.5345,90.0,top
C50,94.3102,-424.4216,90.0,top
C51,100.3394,-427.3042,90.0,top
C52,29.789083,-471.571283,315.0,top
C53,18.435283,-461.182683,315.0,top
C54,50.286883,-451.530683,315.0,top
C55,39.390283,-440.938883,315.0,top
C56,273.558,-421.9324,270.0,top
C57,102.5144,-425.3397,270.0,top
C58,101.5238,-425.3397,270.0,top
C59,85.1916,-423.812,270.0,top
C6,147.4558,-457.2328,90.0,top
C60,82.4484,-418.7384,90.0,top
C61,267.787083,-479.658717,45.0,top
C62,246.882883,-459.643517,45.0,top
C63,278.683683,-469.295517,45.0,top
C64,258.160483,-449.051717,45.0,top
C65,92.3604,-381.876,90.0,top
C66,136.642402,-404.306802,90.0,top
C67,93.9604,-381.876,90.0,top
C68,122.745199,-410.721801,180.0,top
C69,147.7674,-403.5568,270.0,top
C7,154.4153,-434.1716,180.0,top
C70,123.520199,-418.1084,270.0,top
C71,120.845198,-417.3718,180.0,top
C72,98.6104,-379.886,0.0,top
C73,103.9354,-383.921,0.0,top
C74,95.5926,-439.522999,0.0,top
C75,115.7808,-377.5456,90.0,top
